Target,Scoring,TN,TP,FN,FP,pd,pf,prec,g-measure
chromium,:sq,13171,41,74,7569,35.7,36.5,0.5,45.7
chromium,:two,20739,0,115,1,0.0,0.0,0.0,0.0
chromium,:none,20740,0,115,0,0.0,0.0,0.0,0.0
wicket,:sq,138,4,2,350,66.7,71.7,1.1,39.7
wicket,:two,149,4,2,339,66.7,69.5,1.2,41.9
wicket,:none,283,3,3,205,50.0,42.0,1.4,53.7
ambari,:sq,85,5,2,401,71.4,82.5,1.2,28.1
ambari,:two,211,3,4,275,42.9,56.6,1.1,43.1
ambari,:none,434,0,7,52,0.0,10.7,0.0,0.0
camel,:sq,64,17,2,398,89.5,86.1,4.1,24.0
camel,:two,135,12,7,327,63.2,70.8,3.5,40.0
camel,:none,402,2,17,60,10.5,13.0,3.2,18.8
derby,:sq,9,37,0,412,100.0,97.9,8.2,4.2
derby,:two,126,29,8,295,78.4,70.1,9.0,43.3
derby,:none,417,0,37,4,0.0,1.0,0.0,0.0
