Target,Source,Filter,Learner,TN,TP,FN,FP,pd,pf,prec,f,g-measure
Chromium,Ambari,train,naive_bayes,15103,55,60,5752,47.8,27.6,0.9,1.9,57.6
,Ambari,clni,naive_bayes,14745,57,58,6110,49.6,29.3,0.9,1.8,58.3
,Ambari,farsecsq,naive_bayes,10487,82,33,10368,71.3,49.7,0.8,1.6,59.0
,Ambari,farsectwo,random_forest,20454,53,62,401,46.1,1.9,11.7,18.6,62.7
,Ambari,farsec,naive_bayes,14744,59,56,6111,51.3,29.3,1.0,1.9,59.5
,Ambari,clnifarsecsq,random_forest,19817,56,59,1038,48.7,5.0,5.1,9.3,64.4
,Derby,clnifarsectwo,random_forest,20332,26,89,523,22.6,2.5,4.7,7.8,36.7
,Camel,clnifarsec,multilayer_perceptron,20590,8,107,265,7.0,1.3,2.9,4.1,13.0
,,,,,,,,,,,,
Wicket,Camel,train,naive_bayes,437,3,3,57,50.0,11.5,5.0,9.1,63.9
,Camel,clni,naive_bayes,439,2,4,55,33.3,11.1,3.5,6.3,48.5
,Ambari,farsecsq,naive_bayes,253,3,3,241,50.0,48.8,1.2,2.4,50.6
,Camel,farsectwo,logistic_regression,339,3,3,155,50.0,31.4,1.9,3.7,57.8
,Camel,farsec,naive_bayes,431,3,3,63,50.0,12.8,4.5,8.3,63.6
,Chromium,clnifarsecsq,random_forest,493,1,5,1,16.7,0.2,50.0,25.0,28.6
,Camel,clnifarsectwo,random_forest,489,1,5,5,16.7,1.0,16.7,16.7,28.5
,Camel,clnifarsec,naive_bayes,433,3,3,61,50.0,12.3,4.7,8.6,63.7
,,,,,,,,,,,,
Ambari,Chromium,train,naive_bayes,472,3,4,21,42.9,4.3,12.5,19.4,59.2
,Derby,clni,multilayer_perceptron,477,2,5,16,28.6,3.2,11.1,16.0,44.1
,Chromium,farsecsq,logistic_regression,445,4,3,48,57.1,9.7,7.7,13.6,70.0
,Chromium,farsectwo,naive_bayes,472,3,4,21,42.9,4.3,12.5,19.4,59.2
,Wicket,farsec,logistic_regression,419,4,3,74,57.1,15.0,5.1,9.4,68.3
,Chromium,clnifarsecsq,random_forest,492,1,6,1,14.3,0.2,50.0,22.2,25.0
,Chromium,clnifarsectwo,naive_bayes,474,2,5,19,28.6,3.9,9.5,14.3,44.1
,Camel,clnifarsec,multilayer_perceptron,492,1,6,1,14.3,0.2,50.0,22.2,25.0
,,,,,,,,,,,,
Camel,Wicket,train,naive_bayes,423,5,13,58,27.8,12.1,7.9,12.3,42.2
,Ambari,clni,logistic_regression,444,5,13,37,27.8,7.7,11.9,16.7,42.7
,Derby,farsecsq,naive_bayes,236,11,7,245,61.1,50.9,4.3,8.0,54.4
,Derby,farsectwo,naive_bayes,371,8,10,110,44.4,22.9,6.8,11.8,56.4
,Ambari,farsec,logistic_regression,439,5,13,42,27.8,8.7,10.6,15.4,42.6
,Chromium,clnifarsecsq,naive_bayes,402,7,11,79,38.9,16.4,8.1,13.5,53.1
,Ambari,clnifarsectwo,random_forest,455,3,15,26,16.7,5.4,10.3,12.8,28.3
,Derby,clnifarsec,multilayer_perceptron,473,2,16,8,11.1,1.7,20.0,14.3,20.0
,,,,,,,,,,,,
Derby,Wicket,train,naive_bayes,343,16,26,115,38.1,25.1,12.2,18.5,50.5
,Wicket,clni,naive_bayes,364,15,27,94,35.7,20.5,13.8,19.9,49.3
,Chromium,farsecsq,naive_bayes,370,19,23,88,45.2,19.2,17.8,25.5,58.0
,Wicket,farsectwo,logistic_regression,225,30,12,233,71.4,50.9,11.4,19.7,58.2
,Wicket,farsec,naive_bayes,354,19,23,104,45.2,22.7,15.4,23.0,57.1
,Chromium,clnifarsecsq,naive_bayes,372,19,23,86,45.2,18.8,18.1,25.9,58.1
,Ambari,clnifarsectwo,random_forest,449,8,34,9,19.0,2.0,47.1,27.1,31.9
,Wicket,clnifarsec,naive_bayes,363,18,24,95,42.9,20.7,15.9,23.2,55.6
