Source,Target,Filter,Learner,TN,TP,FN,FP,err,pd,pf,prec,f,g-measure
chromium-clnifarsecsq.csv,chromium-test.csv,clnifarsecsq,logistic_regression,18680,77,38,2175,10.553171196948021,66.95652173913042,10.42915368017262,3.4191829484902314,6.50612589776088,76.63007936793343
chromium-clnifarsectwo.csv,chromium-test.csv,clnifarsectwo,naive_bayes,19036,47,68,1819,8.998569384835479,40.869565217391305,8.722128985854711,2.518756698821008,4.745078243311459,56.45946692118984
chromium-clnifarsec.csv,chromium-test.csv,clnifarsec,naive_bayes,19036,47,68,1819,8.998569384835479,40.869565217391305,8.722128985854711,2.518756698821008,4.745078243311459,56.45946692118984
wicket-clnifarsecsq.csv,wicket-test.csv,clnifarsecsq,logistic_regression,368,2,4,126,26.0,33.33333333333333,25.506072874493928,1.5625,2.985074626865672,46.057571964956196
wicket-clnifarsectwo.csv,wicket-test.csv,clnifarsectwo,logistic_regression,357,2,4,137,28.199999999999996,33.33333333333333,27.732793522267208,1.438848920863309,2.758620689655172,45.62300319488818
wicket-clnifarsec.csv,wicket-test.csv,clnifarsec,logistic_regression,442,3,3,52,11.0,50.0,10.52631578947368,5.454545454545455,9.836065573770492,64.15094339622642
ambari-clnifarsecsq.csv,ambari-test.csv,clnifarsecsq,random_forest,455,4,3,38,8.200000000000001,57.14285714285714,7.707910750507099,9.523809523809526,16.326530612244902,70.58367267791351
ambari-clnifarsectwo.csv,ambari-test.csv,clnifarsectwo,logistic_regression,318,4,3,175,35.6,57.14285714285714,35.496957403651116,2.2346368715083798,4.301075268817204,60.60028585040495
ambari-clnifarsec.csv,ambari-test.csv,clnifarsec,naive_bayes,433,2,5,60,13.0,28.57142857142857,12.17038539553753,3.225806451612903,5.797101449275361,43.116753796365444
camel-clnifarsecsq.csv,camel-test.csv,clnifarsecsq,naive_bayes,239,9,9,243,50.4,50.0,50.4149377593361,3.571428571428571,6.666666666666666,49.791666666666664
camel-clnifarsectwo.csv,camel-test.csv,clnifarsectwo,logistic_regression,245,9,9,237,49.2,50.0,49.1701244813278,3.6585365853658542,6.81818181818182,50.411522633744866
camel-clnifarsec.csv,camel-test.csv,clnifarsec,logistic_regression,458,3,15,24,7.8,16.66666666666667,4.979253112033195,11.11111111111111,13.333333333333334,28.359133126934992
derby-clnifarsecsq.csv,derby-test.csv,clnifarsecsq,ib_k,321,23,19,137,31.2,54.76190476190476,29.912663755458517,14.374999999999998,22.77227722772277,61.4840106595603
derby-clnifarsectwo.csv,derby-test.csv,clnifarsectwo,multilayer_perceptron,356,22,20,102,24.4,52.38095238095239,22.2707423580786,17.741935483870968,26.506024096385545,62.58590378775772
derby-clnifarsec.csv,derby-test.csv,clnifarsec,naive_bayes,427,16,26,31,11.4,38.0952380952381,6.768558951965066,34.04255319148936,35.95505617977528,54.08914575251366
