Target,Filter,TN,TP,FN,FP,f-measure,g-measure
Chromium,farsecsq,13294,39,76,7446,1.0,44.4
,farsectwo,20739,0,115,1,0.0,0.0
,farsec,20740,0,115,0,0.0,0.0
,,,,,,,
Wicket,farsecsq,138,4,2,350,2.2,39.7
,farsectwo,149,4,2,339,2.3,41.9
,farsec,283,3,3,205,2.8,53.7
,,,,,,,
Ambari,farsecsq,85,5,2,401,2.4,28.1
,farsectwo,211,3,4,275,2.1,43.1
,farsec,434,0,7,52,0.0,0.0
,,,,,,,
Camel,farsecsq,64,17,2,398,7.8,24.0
,farsectwo,135,12,7,327,6.7,40.0
,farsec,402,2,17,60,4.9,18.8
,,,,,,,
Derby,farsecsq,9,37,0,412,15.2,4.2
,farsectwo,126,29,8,295,16.1,43.3
,farsec,417,0,37,4,0.0,0.0
