Source,Target,Filter,Learner,TN,TP,FN,FP,err,pd,pf,prec,f,g-measure
ambari-train.csv,ambari-test.csv,train,naive_bayes,15103,55,60,5752,27.71578445398188,47.82608695652174,27.58091584751858,0.9471327707938695,1.8574805808848363,57.60765915245833
ambari-clni.csv,ambari-test.csv,clni,naive_bayes,14745,57,58,6110,29.41344778254649,49.56521739130435,29.297530568209062,0.9242743635479164,1.8147086914995225,58.27638927891667
ambari-farsecsq.csv,ambari-test.csv,farsecsq,naive_bayes,10487,82,33,10368,49.59942775393419,71.30434782608695,49.71469671541597,0.7846889952153111,1.5522953147184102,58.97805813556735
ambari-farsectwo.csv,ambari-test.csv,farsectwo,random_forest,20454,53,62,401,2.2079160705770153,46.08695652173913,1.9228002877007913,11.67400881057269,18.62917398945519,62.707399078820835
ambari-farsec.csv,ambari-test.csv,farsec,naive_bayes,14744,59,56,6111,29.408679065331427,51.30434782608696,29.30232558139535,0.9562398703403566,1.8774860779634053,59.459638654069295
camel-train.csv,camel-test.csv,train,naive_bayes,437,3,3,57,12.0,50.0,11.53846153846154,5.0,9.090909090909092,63.88888888888889
camel-clni.csv,camel-test.csv,clni,naive_bayes,439,2,4,55,11.799999999999999,33.33333333333333,11.133603238866401,3.508771929824561,6.349206349206348,48.481501932633904
ambari-farsecsq.csv,ambari-test.csv,farsecsq,naive_bayes,253,3,3,241,48.8,50.0,48.78542510121457,1.2295081967213108,2.399999999999999,50.6
camel-farsectwo.csv,camel-test.csv,farsectwo,logistic_regression,339,3,3,155,31.6,50.0,31.376518218623477,1.89873417721519,3.658536585365854,57.84982935153584
camel-farsec.csv,camel-test.csv,farsec,naive_bayes,431,3,3,63,13.200000000000001,50.0,12.753036437246958,4.545454545454545,8.333333333333332,63.569321533923315
chromium-train.csv,chromium-test.csv,train,naive_bayes,472,3,4,21,5.0,42.85714285714286,4.259634888438134,12.5,19.35483870967742,59.20970102446163
derby-clni.csv,derby-test.csv,clni,multilayer_perceptron,477,2,5,16,4.2,28.57142857142857,3.2454361054766725,11.11111111111111,15.999999999999996,44.115606936416185
chromium-farsecsq.csv,chromium-test.csv,farsecsq,logistic_regression,445,4,3,48,10.2,57.14285714285714,9.73630831643002,7.692307692307692,13.559322033898303,69.9823078435227
chromium-farsectwo.csv,chromium-test.csv,farsectwo,naive_bayes,472,3,4,21,5.0,42.85714285714286,4.259634888438134,12.5,19.35483870967742,59.20970102446163
wicket-farsec.csv,wicket-test.csv,farsec,logistic_regression,419,4,3,74,15.4,57.14285714285714,15.01014198782961,5.128205128205128,9.411764705882351,68.33843017329255
wicket-train.csv,wicket-test.csv,train,naive_bayes,423,5,13,58,14.228456913827662,27.77777777777778,12.05821205821206,7.936507936507938,12.34567901234568,42.219782413414514
ambari-clni.csv,ambari-test.csv,clni,logistic_regression,444,5,13,37,10.020040080160319,27.77777777777778,7.692307692307692,11.9047619047619,16.666666666666664,42.70462633451957
derby-farsecsq.csv,derby-test.csv,farsecsq,naive_bayes,236,11,7,245,50.50100200400802,61.11111111111111,50.93555093555094,4.296875,8.02919708029197,54.42918544920851
derby-farsectwo.csv,derby-test.csv,farsectwo,naive_bayes,371,8,10,110,24.048096192384772,44.44444444444444,22.86902286902287,6.779661016949152,11.76470588235294,56.39369181075432
ambari-farsec.csv,ambari-test.csv,farsec,logistic_regression,439,5,13,42,11.022044088176349,27.77777777777778,8.731808731808732,10.63829787234043,15.38461538461539,42.59241292325604
wicket-train.csv,wicket-test.csv,train,naive_bayes,343,16,26,115,28.199999999999996,38.0952380952381,25.10917030567686,12.21374045801527,18.4971098265896,50.501518358332575
wicket-clni.csv,wicket-test.csv,clni,naive_bayes,364,15,27,94,24.2,35.71428571428571,20.52401746724891,13.76146788990826,19.867549668874176,49.282426211751954
chromium-farsecsq.csv,chromium-test.csv,farsecsq,naive_bayes,370,19,23,88,22.2,45.23809523809524,19.21397379912664,17.75700934579439,25.503355704697988,57.99851497401204
wicket-farsectwo.csv,wicket-test.csv,farsectwo,logistic_regression,225,30,12,233,49.0,71.42857142857143,50.87336244541485,11.40684410646388,19.672131147540988,58.214747736093145
wicket-farsec.csv,wicket-test.csv,farsec,naive_bayes,354,19,23,104,25.4,45.23809523809524,22.707423580786028,15.447154471544719,23.030303030303035,57.07254985150615
