Source,Filter,Learner,TN,TP,FN,FP,pd,pf,prec,f,g-measure
Chromium,train,naive_bayes,18988,47,68,1867,40.9,9.0,2.5,4.6,56.4
,clni,naive_bayes,19036,47,68,1819,40.9,8.7,2.5,4.7,56.5
,farsecsq,logistic_regression,18690,78,37,2165,67.8,10.4,3.5,6.6,77.2
,farsectwo,naive_bayes,18988,47,68,1867,40.9,9.0,2.5,4.6,56.4
,farsec,naive_bayes,18988,47,68,1867,40.9,9.0,2.5,4.6,56.4
Wicket,train,naive_bayes,459,1,5,35,16.7,7.1,2.8,4.8,28.3
,clni,naive_bayes,467,0,6,27,0.0,5.5,0.0,0.0,0.0
,farsecsq,logistic_regression,305,4,2,189,66.7,38.3,2.1,4.0,64.1
,farsectwo,logistic_regression,313,4,2,181,66.7,36.6,2.2,4.2,65.0
,farsec,logistic_regression,454,2,4,40,33.3,8.1,4.8,8.3,48.9
Ambari,train,naive_bayes,428,2,5,65,28.6,13.2,3.0,5.4,43.0
,clni,naive_bayes,443,2,5,50,28.6,10.1,3.8,6.8,43.4
,farsecsq,random_forest,422,3,4,71,42.9,14.4,4.1,7.4,57.1
,farsectwo,logistic_regression,364,5,2,129,71.4,26.2,3.7,7.1,72.6
,farsec,naive_bayes,420,2,5,73,28.6,14.8,2.7,4.9,42.8
Camel,train,naive_bayes,410,3,15,71,16.7,14.8,4.1,6.5,27.9
,clni,naive_bayes,422,3,15,59,16.7,12.3,4.8,7.5,28.0
,farsecsq,naive_bayes,236,9,9,245,50.0,50.9,3.5,6.6,49.5
,farsectwo,logistic_regression,280,9,9,201,50.0,41.8,4.3,7.9,53.8
,farsec,logistic_regression,448,3,15,33,16.7,6.9,8.3,11.1,28.3
Derby,train,naive_bayes,427,16,26,31,38.1,6.8,34.0,36.0,54.1
,clni,naive_bayes,427,16,26,31,38.1,6.8,34.0,36.0,54.1
,farsecsq,ib_k,321,23,19,137,54.8,29.9,14.4,22.8,61.5
,farsectwo,logistic_regression,347,23,19,111,54.8,24.2,17.2,26.1,63.6
,farsec,logistic_regression,415,17,25,43,40.5,9.4,28.3,33.3,56.0
