Target,Filter,Learner,TN,TP,FN,FP,pd,pf,prec,f,g-measure
Chromium,train,logistic_regression,20815,18,97,40,15.7,0.2,31.0,20.8,27.1
,clni,logistic_regression,20808,18,97,47,15.7,0.2,27.7,20.0,27.1
,farsecsq,random_forest,20801,17,98,54,14.8,0.3,23.9,18.3,25.7
,farsectwo,logistic_regression,20815,18,97,40,15.7,0.2,31.0,20.8,27.1
,farsec,logistic_regression,20815,18,97,40,15.7,0.2,31.0,20.8,27.1
,clnifarsecsq,multilayer_perceptron,20066,57,58,789,49.6,3.8,6.7,11.9,65.4
,clnifarsectwo,logistic_regression,20808,18,97,47,15.7,0.2,27.7,20.0,27.1
,clnifarsec,logistic_regression,20808,18,97,47,15.7,0.2,27.7,20.0,27.1
,,,,,,,,,,,
Wicket,train,naive_bayes,459,1,5,35,16.7,7.1,2.8,4.8,28.3
,clni,naive_bayes,467,0,6,27,0.0,5.5,0.0,0.0,0.0
,farsecsq,logistic_regression,305,4,2,189,66.7,38.3,2.1,4.0,64.1
,farsectwo,logistic_regression,313,4,2,181,66.7,36.6,2.2,4.2,65.0
,farsec,logistic_regression,454,2,4,40,33.3,8.1,4.8,8.3,48.9
,clnifarsecsq,logistic_regression,368,2,4,126,33.3,25.5,1.6,3.0,46.1
,clnifarsectwo,logistic_regression,357,2,4,137,33.3,27.7,1.4,2.8,45.6
,clnifarsec,logistic_regression,442,3,3,52,50.0,10.5,5.5,9.8,64.2
,,,,,,,,,,,
Ambari,train,multilayer_perceptron,485,1,6,8,14.3,1.6,11.1,12.5,24.9
,clni,multilayer_perceptron,480,1,6,13,14.3,2.6,7.1,9.5,24.9
,farsecsq,random_forest,422,3,4,71,42.9,14.4,4.1,7.4,57.1
,farsectwo,random_forest,478,4,3,15,57.1,3.0,21.1,30.8,71.9
,farsec,multilayer_perceptron,469,1,6,24,14.3,4.9,4.0,6.3,24.8
,clnifarsecsq,random_forest,455,4,3,38,57.1,7.7,9.5,16.3,70.6
,clnifarsectwo,random_forest,471,2,5,22,28.6,4.5,8.3,12.9,44.0
,clnifarsec,random_forest,493,1,6,0,14.3,0.0,100.0,25.0,25.0
,,,,,,,,,,,
Camel,train,logistic_regression,464,2,16,17,11.1,3.5,10.5,10.8,19.9
,clni,naive_bayes,422,3,15,59,16.7,12.3,4.8,7.5,28.0
,farsecsq,random_forest,426,3,15,55,16.7,11.4,5.2,7.9,28.1
,farsectwo,logistic_regression,280,9,9,201,50.0,41.8,4.3,7.9,53.8
,farsec,logistic_regression,448,3,15,33,16.7,6.9,8.3,11.1,28.3
,clnifarsecsq,multilayer_perceptron,415,3,15,67,16.7,13.9,4.3,6.8,27.9
,clnifarsectwo,multilayer_perceptron,445,2,16,37,11.1,7.7,5.1,7.0,19.8
,clnifarsec,logistic_regression,458,3,15,24,16.7,5.0,11.1,13.3,28.4
,,,,,,,,,,,
Derby,train,naive_bayes,427,16,26,31,38.1,6.8,34.0,36.0,54.1
,clni,random_forest,456,10,32,2,23.8,0.4,83.3,37.0,38.4
,farsecsq,ib_k,321,23,19,137,54.8,29.9,14.4,22.8,61.5
,farsectwo,random_forest,401,20,22,57,47.6,12.4,26.0,33.6,61.7
,farsec,naive_bayes,429,16,26,29,38.1,6.3,35.6,36.8,54.2
,clnifarsecsq,ib_k,321,23,19,137,54.8,29.9,14.4,22.8,61.5
,clnifarsectwo,random_forest,416,15,27,42,35.7,9.2,26.3,30.3,51.3
,clnifarsec,naive_bayes,427,16,26,31,38.1,6.8,34.0,36.0,54.1
