Source,Filter,#SBRs,#BRs,SBRs(%)
Chromium,train,77,20970,0.4
,farsecsq,,14219,0.5
,farsectwo,,20968,0.4
,farsec,,20969,0.4
,clni,,20154,0.4
,clnifarsecsq,,13705,0.6
,clnifarsectwo,,20152,0.4
,clnifarsec,,20153,0.4
,,,,
Wicket,train,4,500,0.8
,farsecsq,,136,2.9
,farsectwo,,143,2.8
,farsec,,302,1.3
,clni,,392,1.0
,clnifarsecsq,,46,8.7
,clnifarsectwo,,49,8.2
,clnifarsec,,196,2.0
,,,,
Ambari,train,22,500,4.4
,farsecsq,,149,14.8
,farsectwo,,260,8.5
,farsec,,462,4.8
,clni,,409,5.4
,clnifarsecsq,,76,28.9
,clnifarsectwo,,181,12.2
,clnifarsec,,376,5.9
,,,,
Camel,train,14,500,2.8
,farsecsq,,116,12.1
,farsectwo,,203,6.9
,farsec,,470,3.0
,clni,,440,3.2
,clnifarsecsq,,71,19.7
,clnifarsectwo,,151,9.3
,clnifarsec,,410,3.4
,,,,
Derby,train,46,500,9.2
,farsecsq,,57,80.7
,farsectwo,,185,24.9
,farsec,,489,9.4
,clni,,446,10.3
,clnifarsecsq,,48,95.8
,clnifarsectwo,,168,27.4
,clnifarsec,,435,10.6
