Dataname,Version,Approach,TN,FP,FN,TP,pd,pf,prec,fmeasure,Gmeasure,Cost
ambari,Noise,RF,493,0,7,0,0,0,nan,nan,0,0.076054096
ambari,farsectwo,RF,478,15,3,4,0.571428571,0.030425963,0.210526316,0.307692308,0.719067319,0.128089428
camel,Noise,RF,482,0,18,0,0,0,nan,nan,0,0.057040691
camel,farsectwo,RF,477,5,17,1,0.055555556,0.010373444,0.166666667,0.083333333,0.105205117,0.050033569
derby,Noise,RF,456,2,35,7,0.166666667,0.004366812,0.777777778,0.274509804,0.285535379,0.065047503
derby,farsectwo,RF,397,61,27,15,0.357142857,0.133187773,0.197368421,0.254237288,0.505861366,0.059040308
wicket,Noise,RF,494,0,6,0,0,0,nan,nan,0,0.048031569
wicket,farsectwo,RF,494,0,6,0,0,0,nan,nan,0,0.058044672
chromium,Noise,RF,20852,3,111,4,0.034782609,0.00014385,0.571428571,0.06557377,0.067226566,1.704438925
chromium,farsectwo,RF,20854,1,113,2,0.017391304,4.80E-05,0.666666667,0.033898305,0.034188006,1.236880541
