Dataname,Version,Approach,TN,FP,FN,TP,pd,pf,prec,fmeasure,Gmeasure,Cost
ambari,Noise,RF,493,0,7,0,0.0,0.0,nan,nan,0.0,0.06804776191711426
ambari,farsectwo,RF,480,13,3,4,0.5714285714285714,0.02636916835699797,0.23529411764705882,0.3333333333333333,0.7201800450112528,0.05103588104248047
camel,Noise,RF,482,0,18,0,0.0,0.0,nan,nan,0.0,0.054036855697631836
camel,farsectwo,RF,477,5,17,1,0.05555555555555555,0.01037344398340249,0.16666666666666666,0.08333333333333333,0.10520511689457432,0.0810537338256836
derby,Noise,RF,456,2,34,8,0.19047619047619047,0.004366812227074236,0.8,0.3076923076923077,0.3197755960729312,0.08005118370056152
derby,farsectwo,RF,383,75,26,16,0.38095238095238093,0.16375545851528384,0.17582417582417584,0.2406015037593985,0.5234475100367302,0.056043386459350586
wicket,Noise,RF,494,0,6,0,0.0,0.0,nan,nan,0.0,0.056035757064819336
wicket,farsectwo,RF,494,0,6,0,0.0,0.0,nan,nan,0.0,0.04803156852722168
chromium,Noise,RF,20849,6,110,5,0.043478260869565216,0.00028770079117717575,0.45454545454545453,0.07936507936507936,0.08333233409675009,1.2618954181671143
chromium,farsectwo,RF,20852,3,111,4,0.034782608695652174,0.00014385039558858787,0.5714285714285714,0.06557377049180328,0.06722656564842427,1.2458887100219727
