Dataname,Version,Approach,TN,FP,FN,TP,pd,pf,prec,fmeasure,Gmeasure,Cost
ambari,Clean,RF,482,2,14,2,0.125,0.004132231404958678,0.5,0.2,0.2221198156682028,0.04903411865234375
ambari,Clean,RF_Tuning,474,10,9,7,0.4375,0.02066115702479339,0.4117647058823529,0.42424242424242425,0.6048122493620124,709.4509534835815
ambari,Clean,Smounted,454,30,9,7,0.4375,0.06198347107438017,0.1891891891891892,0.2641509433962264,0.5966954562523469,222.77547001838684
camel,Clean,RF,451,3,45,1,0.021739130434782608,0.006607929515418502,0.25,0.04,0.04254716981132074,0.04402804374694824
camel,Clean,RF_Tuning,432,22,35,11,0.2391304347826087,0.048458149779735685,0.3333333333333333,0.27848101265822783,0.3822086383012949,843.4961667060852
camel,Clean,Smounted,394,60,31,15,0.32608695652173914,0.13215859030837004,0.2,0.2479338842975206,0.4740514959493061,190.5658860206604
derby,Clean,RF,385,18,69,28,0.28865979381443296,0.04466501240694789,0.6086956521739131,0.3916083916083916,0.4433568446811573,0.05205368995666504
derby,Clean,RF_Tuning,380,23,59,38,0.3917525773195876,0.05707196029776675,0.6229508196721312,0.48101265822784817,0.5535324107793155,1194.6596336364746
derby,Clean,Smounted,303,100,39,58,0.5979381443298969,0.24813895781637718,0.3670886075949367,0.4549019607843137,0.6661233772386999,265.34261751174927
wicket,Clean,RF,474,3,23,0,0.0,0.006289308176100629,0.0,nan,0.0,0.045029640197753906
wicket,Clean,RF_Tuning,474,3,20,3,0.13043478260869565,0.006289308176100629,0.5,0.20689655172413793,0.23060082704937973,889.6934130191803
wicket,Clean,Smounted,452,25,14,9,0.391304347826087,0.05241090146750524,0.2647058823529412,0.3157894736842105,0.5538838586697529,262.823890209198
chromium,Clean,RF,20474,15,165,316,0.656964656964657,0.000732100151300698,0.9546827794561934,0.7783251231527094,0.7927433745210145,1.6121423244476318
chromium,Clean,RF_Tuning,20468,21,159,322,0.6694386694386695,0.0010249402118209772,0.9387755102040817,0.7815533980582524,0.8016627088497015,18837.297662973404
chromium,Clean,Smounted,19150,1339,95,386,0.8024948024948025,0.06535214017277563,0.22376811594202897,0.3499546690843155,0.863544561932123,1269.1564462184906
