Dataname,Version,Approach,TN,FP,FN,TP,pd,pf,prec,fmeasure,Gmeasure,Cost
ambari,Noise,RF,493,0,7,0,0.0,0.0,nan,nan,0.0,0.043805599212646484
ambari,Noise,RF_Tuning,491,2,7,0,0.0,0.004056795131845842,0.0,nan,0.0,708.1528780460358
ambari,Noise,Smounted,492,1,7,0,0.0,0.002028397565922921,0.0,nan,0.0,213.94720244407654
ambari,farsectwo,RF,480,13,6,1,0.14285714285714285,0.02636916835699797,0.07142857142857142,0.09523809523809523,0.24915650142745913,0.045798540115356445
ambari,farsectwo,RF_Tuning,493,0,7,0,0.0,0.0,nan,nan,0.0,579.1655423641205
ambari,farsectwo,Smounted,443,50,3,4,0.5714285714285714,0.10141987829614604,0.07407407407407407,0.13114754098360656,0.6986004336684406,266.1566560268402
ambari,Clean,RF,479,5,14,2,0.125,0.010330578512396695,0.2857142857142857,0.17391304347826086,0.22196478220574603,0.04978013038635254
ambari,Clean,RF_Tuning,476,8,9,7,0.4375,0.01652892561983471,0.4666666666666667,0.45161290322580644,0.6055979643765903,773.7231907844543
ambari,Clean,Smounted,337,147,8,8,0.5,0.3037190082644628,0.05161290322580645,0.0935672514619883,0.5820379965457686,193.65177369117737
camel,Noise,RF,482,0,18,0,0.0,0.0,nan,nan,0.0,0.040819644927978516
camel,Noise,RF_Tuning,482,0,17,1,0.05555555555555555,0.0,1.0,0.10526315789473684,0.10526315789473684,645.4096057415009
camel,Noise,Smounted,476,6,15,3,0.16666666666666666,0.012448132780082987,0.3333333333333333,0.2222222222222222,0.2852007189934092,199.92015671730042
camel,farsectwo,RF,478,4,17,1,0.05555555555555555,0.008298755186721992,0.2,0.08695652173913045,0.10521681708122385,0.044802188873291016
camel,farsectwo,RF_Tuning,455,27,16,2,0.1111111111111111,0.056016597510373446,0.06896551724137931,0.0851063829787234,0.19882018789600173,527.6115455627441
camel,farsectwo,Smounted,434,48,16,2,0.1111111111111111,0.0995850622406639,0.04,0.058823529411764705,0.19781221513217867,218.07914781570435
camel,Clean,RF,447,7,45,1,0.021739130434782608,0.015418502202643172,0.125,0.03703703703703704,0.042539017891130564,0.04978013038635254
camel,Clean,RF_Tuning,453,1,45,1,0.021739130434782608,0.0022026431718061676,0.5,0.041666666666666664,0.0425511929363141,745.9231297969818
camel,Clean,Smounted,338,116,35,11,0.2391304347826087,0.2555066079295154,0.08661417322834646,0.12716763005780346,0.36199006912666737,157.3819968700409
derby,Noise,RF,455,3,34,8,0.19047619047619047,0.006550218340611353,0.7272727272727273,0.3018867924528302,0.31966277333801707,0.04878401756286621
derby,Noise,RF_Tuning,456,2,32,10,0.23809523809523808,0.004366812227074236,0.8333333333333334,0.37037037037037035,0.38429125231754585,864.0665032863617
derby,Noise,Smounted,409,49,24,18,0.42857142857142855,0.10698689956331878,0.26865671641791045,0.3302752293577982,0.579183384470144,188.2427945137024
derby,farsectwo,RF,399,59,27,15,0.35714285714285715,0.12882096069868995,0.20270270270270271,0.25862068965517243,0.5066023362112747,0.04480290412902832
derby,farsectwo,RF_Tuning,373,85,23,19,0.4523809523809524,0.185589519650655,0.18269230769230768,0.2602739726027397,0.5816644780039396,569.6400835514069
derby,farsectwo,Smounted,376,82,23,19,0.4523809523809524,0.17903930131004367,0.18811881188118812,0.26573426573426573,0.5833265289458643,244.7942886352539
derby,Clean,RF,431,5,55,9,0.140625,0.011467889908256881,0.6428571428571429,0.23076923076923078,0.24622318141424404,0.05177116394042969
derby,Clean,RF_Tuning,433,3,53,11,0.171875,0.006880733944954129,0.7857142857142857,0.28205128205128205,0.29303556047742096,929.1019883155823
derby,Clean,Smounted,368,68,43,21,0.328125,0.1559633027522936,0.23595505617977527,0.2745098039215686,0.47254494313317846,174.37556052207947
wicket,Noise,RF,494,0,6,0,0.0,0.0,nan,nan,0.0,0.036841392517089844
wicket,Noise,RF_Tuning,494,0,6,0,0.0,0.0,nan,nan,0.0,571.5893502235413
wicket,Noise,Smounted,494,0,6,0,0.0,0.0,nan,nan,0.0,252.19830441474915
wicket,farsectwo,RF,494,0,6,0,0.0,0.0,nan,nan,0.0,0.04480290412902832
wicket,farsectwo,RF_Tuning,494,0,6,0,0.0,0.0,nan,nan,0.0,464.8417990207672
wicket,farsectwo,Smounted,485,9,6,0,0.0,0.018218623481781375,0.0,nan,0.0,248.26116299629211
wicket,Clean,RF,494,0,6,0,0.0,0.0,nan,nan,0.0,0.03783226013183594
wicket,Clean,RF_Tuning,494,0,6,0,0.0,0.0,nan,nan,0.0,547.9270975589752
