Dataname,Version,Approach,TN,FP,FN,TP,pd,pf,prec,fmeasure,Gmeasure,Cost
ambari,farsectwo,RF,468,16,9,7,0.4375,0.0330578512397,0.304347826087,0.358974358974,0.602427363001,0.03390836715698242
ambari,farsectwo,Smounted,467,17,10,6,0.375,0.0351239669421,0.260869565217,0.307692307692,0.540092521203,171.45000553131104
camel,farsectwo,RF,451,3,45,1,0.0217391304348,0.00660792951542,0.25,0.04,0.0425471698113,0.027924776077270508
camel,farsectwo,Smounted,403,51,39,7,0.152173913043,0.112334801762,0.120689655172,0.134615384615,0.259808436176,165.72657990455627
derby,farsectwo,RF,342,60,75,23,0.234693877551,0.149253731343,0.277108433735,0.254143646409,0.367896730742,0.027925729751586914
derby,farsectwo,Smounted,311,91,61,37,0.377551020408,0.226368159204,0.2890625,0.327433628319,0.507452813547,144.47734880447388
wicket,farsectwo,RF,494,0,6,0,0.0,0.0,nan,nan,0.0,0.023935556411743164
wicket,farsectwo,Smounted,494,0,6,0,0.0,0.0,nan,nan,0.0,186.97132420539856
chromium,farsectwo,RF,20488,2,477,3,0.00625,9.76085895559e-05,0.6,0.0123711340206,0.0124223527165,0.8048248291015625
chromium,farsectwo,Smounted,15167,5323,142,338,0.704166666667,0.259785261103,0.0597067655891,0.110079791565,0.721740868858,328.5188910961151
