Dataname,Version,Approach,TN,FP,FN,TP,pd,pf,prec,fmeasure,Gmeasure,Cost
ambari,farsectwo,RF,473,11,9,7,0.4375,0.0227272727273,0.388888888889,0.411764705882,0.604417670683,0.033908843994140625
ambari,farsectwo,RF_Tuning,467,17,9,7,0.4375,0.0351239669421,0.291666666667,0.35,0.602025782689,652.8783929347992
ambari,farsectwo,Smounted,473,11,9,7,0.4375,0.0227272727273,0.388888888889,0.411764705882,0.604417670683,331.8120834827423
camel,farsectwo,RF,450,4,46,0,0.0,0.00881057268722,0.0,nan,0.0,0.07973790168762207
camel,farsectwo,RF_Tuning,447,7,43,3,0.0652173913043,0.0154185022026,0.3,0.107142857143,0.122331691297,928.2788248062134
camel,farsectwo,Smounted,402,52,38,8,0.173913043478,0.114537444934,0.133333333333,0.150943396226,0.29072500452,420.0851571559906
derby,farsectwo,RF,339,63,76,22,0.224489795918,0.15671641791,0.258823529412,0.24043715847,0.35458565112,0.10272407531738281
derby,farsectwo,RF_Tuning,365,37,84,14,0.142857142857,0.092039800995,0.274509803922,0.187919463087,0.246871829557,1303.0866072177887
derby,farsectwo,Smounted,298,104,65,33,0.336734693878,0.258706467662,0.240875912409,0.28085106383,0.463103367083,329.89579606056213
wicket,farsectwo,RF,494,0,6,0,0.0,0.0,nan,nan,0.0,0.02593088150024414
wicket,farsectwo,RF_Tuning,494,0,6,0,0.0,0.0,nan,nan,0.0,31103.10883498192
wicket,farsectwo,Smounted,494,0,6,0,0.0,0.0,nan,nan,0.0,269.3994662761688
chromium,farsectwo,RF,20487,3,475,5,0.0104166666667,0.000146412884334,0.625,0.0204918032787,0.0206185255746,0.8446335792541504
