Target,Source,Filter,Learner,TN,TP,FN,FP,pd,pf,prec,f,g-measure
Chromium,Derby,train,random_forest,20835,2,113,20,1.7,0.1,9.1,2.9,3.4
,Ambari,farsecsq,random_forest,19279,34,81,1576,29.6,7.6,2.1,3.9,44.8
,Ambari,farsectwo,random_forest,20454,53,62,401,46.1,1.9,11.7,18.6,62.7
,Derby,farsec,multilayer_perceptron,20502,12,103,353,10.4,1.7,3.3,5.0,18.9
,Camel,clni,logistic_regression,20262,25,90,593,21.7,2.8,4.0,6.8,35.5
,Ambari,clnifarsecsq,random_forest,19817,56,59,1038,48.7,5.0,5.1,9.3,64.4
,Derby,clnifarsectwo,random_forest,20332,26,89,523,22.6,2.5,4.7,7.8,36.7
,Camel,clnifarsec,multilayer_perceptron,20590,8,107,265,7.0,1.3,2.9,4.1,13.0
,,,,,,,,,,,,
Wicket,Camel,train,naive_bayes,437,3,3,57,50.0,11.5,5.0,9.1,63.9
,Chromium,farsecsq,multilayer_perceptron,475,1,5,19,16.7,3.8,5.0,7.7,28.4
,Camel,farsectwo,random_forest,490,1,5,4,16.7,0.8,20.0,18.2,28.5
,Camel,farsec,naive_bayes,431,3,3,63,50.0,12.8,4.5,8.3,63.6
,Ambari,clni,multilayer_perceptron,476,1,5,18,16.7,3.6,5.3,8.0,28.4
,Chromium,clnifarsecsq,random_forest,493,1,5,1,16.7,0.2,50.0,25.0,28.6
,Camel,clnifarsectwo,random_forest,489,1,5,5,16.7,1.0,16.7,16.7,28.5
,Camel,clnifarsec,naive_bayes,433,3,3,61,50.0,12.3,4.7,8.6,63.7
,,,,,,,,,,,,
Ambari,Derby,train,multilayer_perceptron,484,2,5,9,28.6,1.8,18.2,22.2,44.3
,Chromium,farsecsq,multilayer_perceptron,474,3,4,19,42.9,3.9,13.6,20.7,59.3
,Chromium,farsectwo,naive_bayes,472,3,4,21,42.9,4.3,12.5,19.4,59.2
,Camel,farsec,multilayer_perceptron,492,1,6,1,14.3,0.2,50.0,22.2,25.0
,Derby,clni,multilayer_perceptron,477,2,5,16,28.6,3.2,11.1,16.0,44.1
,Chromium,clnifarsecsq,random_forest,492,1,6,1,14.3,0.2,50.0,22.2,25.0
,Chromium,clnifarsectwo,naive_bayes,474,2,5,19,28.6,3.9,9.5,14.3,44.1
,Camel,clnifarsec,multilayer_perceptron,492,1,6,1,14.3,0.2,50.0,22.2,25.0
,,,,,,,,,,,,
Camel,Derby,train,naive_bayes,457,3,15,24,16.7,5.0,11.1,13.3,28.4
,Chromium,farsecsq,naive_bayes,401,7,11,80,38.9,16.6,8.0,13.3,53.0
,Derby,farsectwo,naive_bayes,371,8,10,110,44.4,22.9,6.8,11.8,56.4
,Ambari,farsec,logistic_regression,439,5,13,42,27.8,8.7,10.6,15.4,42.6
,Ambari,clni,logistic_regression,444,5,13,37,27.8,7.7,11.9,16.7,42.7
,Chromium,clnifarsecsq,naive_bayes,402,7,11,79,38.9,16.4,8.1,13.5,53.1
,Ambari,clnifarsectwo,random_forest,455,3,15,26,16.7,5.4,10.3,12.8,28.3
,Derby,clnifarsec,multilayer_perceptron,473,2,16,8,11.1,1.7,20.0,14.3,20.0
,,,,,,,,,,,,
Derby,Ambari,train,naive_bayes,393,13,29,65,31.0,14.2,16.7,21.7,45.5
,Chromium,farsecsq,naive_bayes,370,19,23,88,45.2,19.2,17.8,25.5,58.0
,Ambari,farsectwo,random_forest,454,6,36,4,14.3,0.9,60.0,23.1,25.0
,Wicket,farsec,naive_bayes,354,19,23,104,45.2,22.7,15.4,23.0,57.1
,Ambari,clni,naive_bayes,400,12,30,58,28.6,12.7,17.1,21.4,43.1
,Chromium,clnifarsecsq,naive_bayes,372,19,23,86,45.2,18.8,18.1,25.9,58.1
,Ambari,clnifarsectwo,random_forest,449,8,34,9,19.0,2.0,47.1,27.1,31.9
,Wicket,clnifarsec,naive_bayes,363,18,24,95,42.9,20.7,15.9,23.2,55.6
