Source,Target,Filter,Learner,TN,TP,FN,FP,err,pd,pf,prec,f,g-measure
derby-train.csv,chromium-derby-test.csv,train,random_forest,20835,2,113,20,0.6342393896041965,1.739130434782609,0.09590026372572526,9.090909090909092,2.9197080291970807,3.4187473207711263
ambari-farsecsq.csv,chromium-ambari-test.csv,farsecsq,random_forest,19279,34,81,1576,7.901764425369576,29.565217391304348,7.556940781587149,2.111801242236025,3.9420289855072466,44.80186456288201
ambari-farsectwo.csv,chromium-ambari-test.csv,farsectwo,random_forest,20454,53,62,401,2.2079160705770153,46.08695652173913,1.9228002877007913,11.67400881057269,18.62917398945519,62.707399078820835
derby-farsec.csv,chromium-derby-test.csv,farsec,multilayer_perceptron,20502,12,103,353,2.174535050071531,10.43478260869565,1.6926396547590512,3.287671232876712,5.0,18.86694350821897
camel-clni.csv,chromium-camel-test.csv,clni,logistic_regression,20262,25,90,593,3.257033857892227,21.73913043478261,2.843442819467754,4.045307443365696,6.8212824010914055,35.5286068234143
camel-train.csv,wicket-camel-test.csv,train,naive_bayes,437,3,3,57,12.0,50.0,11.53846153846154,5.0,9.090909090909092,63.88888888888889
chromium-farsecsq.csv,wicket-chromium-test.csv,farsecsq,multilayer_perceptron,475,1,5,19,4.8,16.66666666666667,3.846153846153846,5.0,7.6923076923076925,28.409090909090917
camel-farsectwo.csv,wicket-camel-test.csv,farsectwo,random_forest,490,1,5,4,1.7999999999999998,16.66666666666667,0.8097165991902834,20.0,18.181818181818183,28.53814793244031
camel-farsec.csv,wicket-camel-test.csv,farsec,naive_bayes,431,3,3,63,13.200000000000001,50.0,12.753036437246958,4.545454545454545,8.333333333333332,63.569321533923315
ambari-clni.csv,wicket-ambari-test.csv,clni,multilayer_perceptron,476,1,5,18,4.6,16.66666666666667,3.643724696356275,5.263157894736842,8.0,28.4179104477612
derby-train.csv,ambari-derby-test.csv,train,multilayer_perceptron,484,2,5,9,2.8000000000000003,28.57142857142857,1.825557809330629,18.18181818181818,22.22222222222222,44.26154549611339
chromium-farsecsq.csv,ambari-chromium-test.csv,farsecsq,multilayer_perceptron,474,3,4,19,4.6,42.85714285714286,3.8539553752535505,13.63636363636364,20.689655172413797,59.28705440900564
chromium-farsectwo.csv,ambari-chromium-test.csv,farsectwo,naive_bayes,472,3,4,21,5.0,42.85714285714286,4.259634888438134,12.5,19.35483870967742,59.20970102446163
camel-farsec.csv,ambari-camel-test.csv,farsec,multilayer_perceptron,492,1,6,1,1.4000000000000001,14.28571428571429,0.2028397565922921,50.0,22.222222222222225,24.99364998729998
derby-clni.csv,ambari-derby-test.csv,clni,multilayer_perceptron,477,2,5,16,4.2,28.57142857142857,3.2454361054766725,11.11111111111111,15.999999999999996,44.115606936416185
derby-train.csv,camel-derby-test.csv,train,naive_bayes,457,3,15,24,7.8156312625250495,16.66666666666667,4.98960498960499,11.11111111111111,13.333333333333334,28.35867204467888
chromium-farsecsq.csv,camel-chromium-test.csv,farsecsq,naive_bayes,401,7,11,80,18.23647294589178,38.88888888888889,16.63201663201663,8.045977011494253,13.333333333333336,53.037316957959376
derby-farsectwo.csv,camel-derby-test.csv,farsectwo,naive_bayes,371,8,10,110,24.048096192384772,44.44444444444444,22.86902286902287,6.779661016949152,11.76470588235294,56.39369181075432
ambari-farsec.csv,camel-ambari-test.csv,farsec,logistic_regression,439,5,13,42,11.022044088176349,27.77777777777778,8.731808731808732,10.63829787234043,15.38461538461539,42.59241292325604
ambari-clni.csv,camel-ambari-test.csv,clni,logistic_regression,444,5,13,37,10.020040080160319,27.77777777777778,7.692307692307692,11.9047619047619,16.666666666666664,42.70462633451957
ambari-train.csv,derby-ambari-test.csv,train,naive_bayes,393,13,29,65,18.8,30.95238095238095,14.192139737991269,16.66666666666667,21.66666666666667,45.49421193232413
chromium-farsecsq.csv,derby-chromium-test.csv,farsecsq,naive_bayes,370,19,23,88,22.2,45.23809523809524,19.21397379912664,17.75700934579439,25.503355704697988,57.99851497401204
ambari-farsectwo.csv,derby-ambari-test.csv,farsectwo,random_forest,454,6,36,4,8.0,14.28571428571429,0.8733624454148471,60.0,23.076923076923084,24.972497249724977
