Target,Source,Filter,Learner,TN,TP,FN,FP,err,pd,pf,prec,g-measure
Chromium,Ambari,train,naive_bayes,15103,55,60,5752,27.7,47.8,27.6,0.9,57.6
,Ambari,clni,naive_bayes,15057,52,63,5798,27.9,45.2,27.8,0.9,55.6
,Ambari,farsecsq,naive_bayes,10487,82,33,10368,49.6,71.3,49.7,0.8,59.0
,Ambari,farsectwo,random_forest,20454,53,62,401,2.2,46.1,1.9,11.7,62.7
,Ambari,farsec,naive_bayes,14744,59,56,6111,29.4,51.3,29.3,1.0,59.5
Wicket,Camel,train,naive_bayes,437,3,3,57,12.0,50.0,11.5,5.0,63.9
,Camel,clni,naive_bayes,438,2,4,56,12.0,33.3,11.3,3.4,48.5
,Ambari,farsecsq,naive_bayes,253,3,3,241,48.8,50.0,48.8,1.2,50.6
,Camel,farsectwo,logistic_regression,339,3,3,155,31.6,50.0,31.4,1.9,57.8
,Camel,farsec,naive_bayes,431,3,3,63,13.2,50.0,12.8,4.5,63.6
Ambari,Chromium,train,naive_bayes,472,3,4,21,5.0,42.9,4.3,12.5,59.2
,Chromium,clni,naive_bayes,472,3,4,21,5.0,42.9,4.3,12.5,59.2
,Chromium,farsecsq,multilayer_perceptron,459,4,3,34,7.4,57.1,6.9,10.5,70.8
,Chromium,farsectwo,naive_bayes,472,3,4,21,5.0,42.9,4.3,12.5,59.2
,Wicket,farsec,logistic_regression,419,4,3,74,15.4,57.1,15.0,5.1,68.3
Camel,Wicket,train,naive_bayes,423,5,13,58,14.2,27.8,12.1,7.9,42.2
,Wicket,clni,naive_bayes,435,4,14,46,12.0,22.2,9.6,8.0,35.7
,Derby,farsecsq,naive_bayes,236,11,7,245,50.5,61.1,50.9,4.3,54.4
,Derby,farsectwo,naive_bayes,371,8,10,110,24.0,44.4,22.9,6.8,56.4
,Ambari,farsec,logistic_regression,439,5,13,42,11.0,27.8,8.7,10.6,42.6
Derby,Wicket,train,naive_bayes,343,16,26,115,28.2,38.1,25.1,12.2,50.5
,Wicket,clni,naive_bayes,365,15,27,93,24.0,35.7,20.3,13.9,49.3
,Chromium,farsecsq,naive_bayes,370,19,23,88,22.2,45.2,19.2,17.8,58.0
,Wicket,farsectwo,logistic_regression,225,30,12,233,49.0,71.4,50.9,11.4,58.2
,Wicket,farsec,naive_bayes,354,19,23,104,25.4,45.2,22.7,15.4,57.1
