Target,Filter,Learner,TN,TP,FN,FP,err,pd,pf,prec,g-measure
Chromium,train,naive_bayes,18987,47,68,1868,9.2,40.9,9.0,2.5,56.4
,clni,naive_bayes,18987,47,68,1868,9.2,40.9,9.0,2.5,56.4
,farsecsq,logistic_regression,18666,78,37,2189,10.6,67.8,10.5,3.4,77.2
,farsectwo,naive_bayes,18987,47,68,1868,9.2,40.9,9.0,2.5,56.4
,farsec,naive_bayes,18987,47,68,1868,9.2,40.9,9.0,2.5,56.4
Wicket,train,naive_bayes,459,1,5,35,8.0,16.7,7.1,2.8,28.3
,clni,naive_bayes,467,0,6,27,6.6,0.0,5.5,0.0,0.0
,farsecsq,logistic_regression,305,4,2,189,38.2,66.7,38.3,2.1,64.1
,farsectwo,logistic_regression,313,4,2,181,36.6,66.7,36.6,2.2,65.0
,farsec,logistic_regression,454,2,4,40,8.8,33.3,8.1,4.8,48.9
Ambari,train,naive_bayes,428,2,5,65,14.0,28.6,13.2,3.0,43.0
,clni,naive_bayes,438,2,5,55,12.0,28.6,11.2,3.5,43.2
,farsecsq,random_forest,422,3,4,71,15.0,42.9,14.4,4.1,57.1
,farsectwo,logistic_regression,364,5,2,129,26.2,71.4,26.2,3.7,72.6
,farsec,naive_bayes,420,2,5,73,15.6,28.6,14.8,2.7,42.8
Camel,train,naive_bayes,410,3,15,71,17.2,16.7,14.8,4.1,27.9
,clni,naive_bayes,416,3,15,65,16.0,16.7,13.5,4.4,27.9
,farsecsq,naive_bayes,236,9,9,245,50.9,50.0,50.9,3.5,49.5
,farsectwo,logistic_regression,280,9,9,201,42.1,50.0,41.8,4.3,53.8
,farsec,logistic_regression,448,3,15,33,9.6,16.7,6.9,8.3,28.3
Derby,train,naive_bayes,427,16,26,31,11.4,38.1,6.8,34.0,54.1
,clni,naive_bayes,426,16,26,32,11.6,38.1,7.0,33.3,54.1
,farsecsq,ib_k,321,23,19,137,31.2,54.8,29.9,14.4,61.5
,farsectwo,logistic_regression,347,23,19,111,26.0,54.8,24.2,17.2,63.6
,farsec,logistic_regression,415,17,25,43,13.6,40.5,9.4,28.3,56.0
