Source,Target,Filter,Learner,TN,TP,FN,FP,err,pd,pf,prec,f,g-measure
chromium-train.csv,chromium-test.csv,train,logistic_regression,20815,18,97,40,0.6533142584644731,15.65217391304348,0.19180052745145051,31.03448275862069,20.809248554913296,27.060631284724547
chromium-clni.csv,chromium-test.csv,clni,logistic_regression,20808,18,97,47,0.6866952789699571,15.65217391304348,0.22536561975545433,27.69230769230769,20.0,27.05939724958549
chromium-farsecsq.csv,chromium-test.csv,farsecsq,random_forest,20801,17,98,54,0.7248450166905103,14.782608695652169,0.25893071205945817,23.94366197183099,18.279569892473113,25.748966923342973
chromium-farsectwo.csv,chromium-test.csv,farsectwo,logistic_regression,20815,18,97,40,0.6533142584644731,15.65217391304348,0.19180052745145051,31.03448275862069,20.809248554913296,27.060631284724547
chromium-farsec.csv,chromium-test.csv,farsec,logistic_regression,20815,18,97,40,0.6533142584644731,15.65217391304348,0.19180052745145051,31.03448275862069,20.809248554913296,27.060631284724547
wicket-train.csv,wicket-test.csv,train,naive_bayes,459,1,5,35,8.0,16.66666666666667,7.08502024291498,2.777777777777778,4.761904761904762,28.263546798029562
wicket-clni.csv,wicket-test.csv,clni,naive_bayes,467,0,6,27,6.6000000000000005,0,5.465587044534413,0,0,0
wicket-farsecsq.csv,wicket-test.csv,farsecsq,logistic_regression,305,4,2,189,38.2,66.66666666666667,38.25910931174089,2.072538860103627,4.020100502512563,64.10930110352075
wicket-farsectwo.csv,wicket-test.csv,farsectwo,logistic_regression,313,4,2,181,36.6,66.66666666666667,36.63967611336032,2.162162162162162,4.188481675392669,64.97145822522056
wicket-farsec.csv,wicket-test.csv,farsec,logistic_regression,454,2,4,40,8.799999999999999,33.33333333333333,8.097165991902834,4.761904761904763,8.333333333333336,48.92241379310344
ambari-train.csv,ambari-test.csv,train,multilayer_perceptron,485,1,6,8,2.8000000000000003,14.28571428571429,1.6227180527383371,11.11111111111111,12.500000000000002,24.948559670781897
ambari-clni.csv,ambari-test.csv,clni,multilayer_perceptron,480,1,6,13,3.8,14.28571428571429,2.636916835699797,7.142857142857142,9.523809523809526,24.915650142745918
ambari-farsecsq.csv,ambari-test.csv,farsecsq,random_forest,422,3,4,71,15.0,42.85714285714286,14.401622718052739,4.054054054054054,7.407407407407408,57.117076471915176
ambari-farsectwo.csv,ambari-test.csv,farsectwo,random_forest,478,4,3,15,3.5999999999999996,57.14285714285714,3.042596348884381,21.05263157894737,30.769230769230766,71.90673185408048
ambari-farsec.csv,ambari-test.csv,farsec,multilayer_perceptron,469,1,6,24,6.0,14.28571428571429,4.86815415821501,4.0,6.25,24.84110169491526
camel-train.csv,camel-test.csv,train,logistic_regression,464,2,16,17,6.6132264529058125,11.11111111111111,3.534303534303534,10.52631578947368,10.810810810810807,19.926991625509984
camel-clni.csv,camel-test.csv,clni,naive_bayes,422,3,15,59,14.82965931863727,16.66666666666667,12.26611226611227,4.838709677419355,7.5,28.011948224361106
camel-farsecsq.csv,camel-test.csv,farsecsq,random_forest,426,3,15,55,14.02805611222445,16.66666666666667,11.43451143451143,5.172413793103448,7.894736842105265,28.054000658544624
camel-farsectwo.csv,camel-test.csv,farsectwo,logistic_regression,280,9,9,201,42.08416833667335,50.0,41.78794178794179,4.285714285714286,7.894736842105263,53.79442843419788
camel-farsec.csv,camel-test.csv,farsec,logistic_regression,448,3,15,33,9.619238476953909,16.66666666666667,6.860706860706861,8.333333333333332,11.11111111111111,28.27390343957085
derby-train.csv,derby-test.csv,train,naive_bayes,427,16,26,31,11.4,38.0952380952381,6.768558951965066,34.04255319148936,35.95505617977528,54.08914575251366
derby-clni.csv,derby-test.csv,clni,random_forest,456,10,32,2,6.800000000000001,23.80952380952381,0.43668122270742354,83.33333333333333,37.03703703703704,38.4291252317546
derby-farsecsq.csv,derby-test.csv,farsecsq,ib_k,321,23,19,137,31.2,54.76190476190476,29.912663755458517,14.374999999999998,22.77227722772277,61.4840106595603
derby-farsectwo.csv,derby-test.csv,farsectwo,random_forest,401,20,22,57,15.8,47.61904761904762,12.44541484716157,25.97402597402597,33.613445378151255,61.68756249519268
derby-farsec.csv,derby-test.csv,farsec,naive_bayes,429,16,26,29,11.0,38.0952380952381,6.331877729257641,35.555555555555564,36.781609195402304,54.16239248796654
